epsilon,method,metric,median_mixing_time,q10_mixing_time,q90_mixing_time,n_points,n_censored,censoring_fraction,maximum_censoring_time,threshold,bias_floor,N_particles
0.08,Langevin,bin_chi2_M120,62.41879652345543,60.47875284772641,63.51534294886748,8,0,0.0,337.3989001267861,0.14,0.02481773333333333,6000
0.08,Langevin,bin_chi2_M40,85.19322228201348,83.00012943118938,87.3019654078059,8,0,0.0,337.3989001267861,0.06,0.008680155555555555,6000
0.08,Langevin,bin_chi2_M80,71.69726627694205,70.85376902662507,73.89035912776615,8,0,0.0,337.3989001267861,0.1,0.018986177777777773,6000
0.08,Langevin,well_TV,113.02863154247333,107.71459886547646,114.12517796788539,8,0,0.0,337.3989001267861,0.075,0.013061666666666671,6000
0.09,LSC-CP,CDF_sup,2.14,2.028,2.2,8,0,0.0,16.0,0.06,0.017320416666666682,6000
0.09,LSC-CP,KDE_chi2,1.24,1.188,1.292,8,0,0.0,16.0,0.11144875614689903,0.03714958538229968,6000
0.09,LSC-CP,W1,2.34,2.244,2.532,8,0,0.0,16.0,0.08197815959937942,0.02732605319979314,6000
0.09,LSC-CP,bin_chi2_M120,1.12,1.08,1.172,8,0,0.0,16.0,0.14,0.02677373333333333,6000
0.09,LSC-CP,bin_chi2_M40,1.48,1.468,1.52,8,0,0.0,16.0,0.06,0.009534222222222222,6000
0.09,LSC-CP,bin_chi2_M80,1.28,1.24,1.292,8,0,0.0,16.0,0.1,0.017775199999999998,6000
0.09,LSC-CP,well_TV,1.86,1.828,1.9040000000000001,8,0,0.0,16.0,0.075,0.014486666666666665,6000
0.09,Langevin,CDF_sup,88.23732572096121,85.62288644034014,94.06039502779906,8,0,0.0,237.67629823827934,0.06,0.017320416666666682,6000
0.09,Langevin,KDE_chi2,51.39749949402791,50.50621337563437,53.47716710361286,8,0,0.0,237.67629823827934,0.11144875614689903,0.03714958538229968,6000
0.09,Langevin,W1,97.7443776504924,95.3676146681096,101.60661749686443,8,0,0.0,237.67629823827934,0.08197815959937942,0.02732605319979314,6000
0.09,Langevin,bin_chi2_M120,43.67301980128383,43.197667204807274,45.33675388895178,8,0,0.0,237.67629823827934,0.14,0.02677373333333333,6000
0.09,Langevin,bin_chi2_M40,60.904551423559084,59.478493634129414,62.56828551122704,8,0,0.0,237.67629823827934,0.06,0.009534222222222222,6000
0.09,Langevin,bin_chi2_M80,50.803308748432215,50.327956151955654,51.45691856858748,8,0,0.0,237.67629823827934,0.1,0.017775199999999998,6000
0.09,Langevin,well_TV,78.13608304583434,75.69990098889198,79.32446453702573,8,0,0.0,237.67629823827934,0.075,0.014486666666666665,6000
0.1,LSC-CP,CDF_sup,2.06,1.96,2.12,8,0,0.0,16.0,0.06,0.019294583333333302,6000
0.1,LSC-CP,KDE_chi2,1.26,1.24,1.32,8,0,0.0,16.0,0.09552209538107298,0.03184069846035766,6000
0.1,LSC-CP,W1,2.06,1.96,2.12,8,0,0.0,16.0,0.09894975526846556,0.032983251756155185,6000
0.1,LSC-CP,bin_chi2_M120,1.08,1.068,1.12,8,0,0.0,16.0,0.14,0.025680666666666664,6000
0.1,LSC-CP,bin_chi2_M40,1.48,1.468,1.56,8,0,0.0,16.0,0.06,0.011011666666666664,6000
0.1,LSC-CP,bin_chi2_M80,1.28,1.228,1.28,8,0,0.0,16.0,0.1,0.01928159999999999,6000
0.1,LSC-CP,well_TV,1.84,1.816,1.96,8,0,0.0,16.0,0.075,0.01743166666666667,6000
0.1,Langevin,CDF_sup,68.40562087083157,66.03601439622108,69.43394066170028,8,0,0.0,178.83822449890607,0.06,0.019294583333333302,6000
0.1,Langevin,KDE_chi2,41.13279163474839,40.104471843879686,42.608206986864374,8,0,0.0,178.83822449890607,0.09552209538107298,0.03184069846035766,6000
0.1,Langevin,W1,69.74690755457337,68.1373635340832,70.77522734544208,8,0,0.0,178.83822449890607,0.09894975526846556,0.032983251756155185,6000
0.1,Langevin,bin_chi2_M120,33.97926265479215,32.950942863923444,34.38164865991469,8,0,0.0,178.83822449890607,0.14,0.025680666666666664,6000
0.1,Langevin,bin_chi2_M40,46.274390589091944,45.33548991047269,47.34741993608538,8,0,0.0,178.83822449890607,0.06,0.011011666666666664,6000
0.1,Langevin,bin_chi2_M80,38.00312270601754,37.421898476396095,40.059762287754964,8,0,0.0,178.83822449890607,0.1,0.01928159999999999,6000
0.1,Langevin,well_TV,59.016614084639,57.854165625396114,59.59783831426045,8,0,0.0,178.83822449890607,0.075,0.01743166666666667,6000
0.11,LSC-CP,CDF_sup,2.08,1.992,2.132,8,0,0.0,16.0,0.06,0.018300416666666645,6000
0.11,LSC-CP,KDE_chi2,1.36,1.308,1.48,8,0,0.0,16.0,0.07982097839880725,0.026606992799602415,6000
0.11,LSC-CP,W1,2.22,2.188,2.332,8,0,0.0,16.0,0.08,0.025545091502452287,6000
0.11,LSC-CP,bin_chi2_M120,1.12,1.08,1.1320000000000001,8,0,0.0,16.0,0.14,0.026145533333333332,6000
0.11,LSC-CP,bin_chi2_M40,1.48,1.44,1.52,8,0,0.0,16.0,0.06,0.01092293333333333,6000
0.11,LSC-CP,bin_chi2_M80,1.28,1.24,1.32,8,0,0.0,16.0,0.1,0.017683199999999996,6000
0.11,LSC-CP,well_TV,1.84,1.8,1.8800000000000001,8,0,0.0,16.0,0.075,0.013609999999999949,6000
0.11,Langevin,CDF_sup,52.58226347349091,49.90021513524573,53.71154698433098,8,0,0.0,141.16043885500915,0.06,0.018300416666666645,6000
0.11,Langevin,KDE_chi2,34.58430751947724,33.8785053252022,35.85475146917233,8,0,0.0,141.16043885500915,0.07982097839880725,0.026606992799602415,6000
0.11,Langevin,W1,61.228340353360224,57.558168943129985,62.32233375448654,8,0,0.0,141.16043885500915,0.08,0.025545091502452287,6000
0.11,Langevin,bin_chi2_M120,26.467582285314215,25.76178009103917,27.27925480873052,8,0,0.0,141.16043885500915,0.14,0.026145533333333332,6000
0.11,Langevin,bin_chi2_M40,36.34881300516486,35.99591190802733,37.0546151994399,8,0,0.0,141.16043885500915,0.06,0.01092293333333333,6000
0.11,Langevin,bin_chi2_M80,30.349494353826966,29.996593256689444,31.831678961804563,8,0,0.0,141.16043885500915,0.1,0.017683199999999996,6000
0.11,Langevin,well_TV,45.87714262787797,44.71256900732415,47.0417162484318,8,0,0.0,141.16043885500915,0.075,0.013609999999999949,6000
0.125,LSC-CP,CDF_sup,2.06,1.84,2.092,8,0,0.0,16.0,0.06,0.018116666666666635,6000
0.125,LSC-CP,KDE_chi2,1.4000000000000001,1.36,1.452,8,0,0.0,16.0,0.06891345913254227,0.022971153044180754,6000
