epsilon,method,metric,estimator,seed,observed_mixing_time,censored,accepted,acceptance_reason,n_fit,window_start,window_end,window_initial_value,window_final_value,slope_log_chi2,slope_standard_error,lambda_eff,log_R2,residual_RMSE_log,predicted_threshold_time,noise_cutoff,upper_window_cutoff,predicted_to_observed_ratio
0.045,LSC-CP,bin_chi2_M40,seed,0,1.52,False,True,accepted,30,0.24,1.4000000000000001,0.7327888888888889,0.0771311111111111,-2.0383950535046242,0.03689972702115417,1.0191975267523121,0.9909079682178511,0.06760072959253317,1.4676879715626405,0.019286044444444428,0.8,
0.045,LSC-CP,bin_chi2_M40,seed,1,1.56,False,True,accepted,31,0.2,1.4000000000000001,0.7687644444444444,0.06981333333333334,-2.017343431324561,0.028061158477250478,1.0086717156622804,0.9944201895370117,0.05406417500708653,1.4642567480782136,0.019286044444444428,0.8,
0.045,LSC-CP,bin_chi2_M40,seed,2,1.52,False,True,accepted,30,0.24,1.4000000000000001,0.7312599999999999,0.07195777777777776,-1.9914050300545294,0.03728369804151275,0.9957025150272647,0.990280697267004,0.06830416897309413,1.4956082131497217,0.019286044444444428,0.8,
0.045,LSC-CP,bin_chi2_M40,seed,3,1.48,False,True,accepted,31,0.24,1.44,0.7402222222222221,0.06344,-1.9992655119865577,0.03281458174578208,0.9996327559932788,0.9922480484641737,0.06322238234485537,1.4967644788203591,0.019286044444444428,0.8,
0.045,LSC-CP,bin_chi2_M40,seed,4,1.48,False,True,accepted,30,0.2,1.36,0.7946533333333333,0.08268666666666666,-2.029375168156172,0.03455966058559949,1.014687584078086,0.9919451042699772,0.06331370063300167,1.473082197501275,0.019286044444444428,0.8,
0.045,LSC-CP,bin_chi2_M40,seed,5,1.56,False,True,accepted,31,0.24,1.44,0.74554,0.06858222222222221,-1.9714844839105123,0.028855094919173457,0.9857422419552562,0.9938259997906747,0.055593816727880996,1.5181050251078707,0.019286044444444428,0.8,
0.045,LSC-CP,bin_chi2_M40,seed,6,1.52,False,True,accepted,29,0.24,1.36,0.7401355555555555,0.06821777777777778,-2.021053312526518,0.03362093603673712,1.010526656263259,0.9925835699039333,0.058465638080147375,1.4831580972213176,0.019286044444444428,0.8,
0.045,LSC-CP,bin_chi2_M40,seed,7,1.56,False,True,accepted,33,0.24,1.52,0.7461933333333333,0.06619333333333333,-1.9466963355013789,0.03829229694503711,0.9733481677506894,0.9881475021707713,0.08120374915783599,1.534829665213589,0.019286044444444428,0.8,
0.045,LSC-CP,bin_chi2_M80,seed,0,1.24,False,True,accepted,25,0.24,1.2,0.72708,0.1139111111111111,-1.9861488749828742,0.0325369458603845,0.9930744374914371,0.9938654122226562,0.0450093111028769,1.2388507668006068,0.035662133333333325,0.8,
0.045,LSC-CP,bin_chi2_M80,seed,1,1.32,False,True,accepted,25,0.24,1.2,0.732711111111111,0.10287555555555555,-1.9902197593906341,0.038140128403309805,0.9951098796953171,0.9916239917591028,0.05276035778448311,1.2406841255985166,0.035662133333333325,0.8,
0.045,LSC-CP,bin_chi2_M80,seed,2,1.32,False,True,accepted,27,0.24,1.28,0.76008,0.10133333333333333,-1.9692370963866588,0.03631141847032387,0.9846185481933294,0.9915714198401442,0.05656506321767998,1.2699691736622434,0.035662133333333325,0.8,
0.045,LSC-CP,bin_chi2_M80,seed,3,1.24,False,True,accepted,26,0.2,1.2,0.7994933333333334,0.11792888888888889,-2.038863913118249,0.04195426229936599,1.0194319565591246,0.989940049672229,0.06165992110099919,1.219591349050309,0.035662133333333325,0.8,
0.045,LSC-CP,bin_chi2_M80,seed,4,1.32,False,True,accepted,25,0.24,1.2,0.7275333333333334,0.10902222222222221,-1.9023213134773593,0.04449216334310406,0.9511606567386797,0.9875749767042364,0.06154731394098099,1.2831937112638605,0.035662133333333325,0.8,
0.045,LSC-CP,bin_chi2_M80,seed,5,1.28,False,True,accepted,24,0.24,1.16,0.728711111111111,0.11406666666666665,-1.9923408596457448,0.04201775259699728,0.9961704298228724,0.99030981386232,0.05456918287370174,1.236871181359453,0.035662133333333325,0.8,
0.045,LSC-CP,bin_chi2_M80,seed,6,1.24,False,True,accepted,26,0.2,1.2,0.7852666666666666,0.10071999999999999,-1.9860334732598075,0.03206328994729813,0.9930167366299038,0.9937834982603239,0.04712321990747385,1.2376729318090842,0.035662133333333325,0.8,
0.045,LSC-CP,bin_chi2_M80,seed,7,1.32,False,True,accepted,25,0.24,1.2,0.7202711111111111,0.11996444444444443,-1.9717880203164158,0.04152667306519835,0.9858940101582079,0.9899015741495133,0.057445064299494884,1.241353836220406,0.035662133333333325,0.8,
0.045,Langevin,KDE_chi2,seed,0,421.4724055668719,False,False,fewer than eight eligible contiguous points,1,,,,,,,,,,,,,
0.045,Langevin,KDE_chi2,seed,1,389.86197514935645,False,False,fewer than eight eligible contiguous points,1,,,,,,,,,,,,,
0.045,Langevin,KDE_chi2,seed,2,410.9355954277001,False,False,fewer than eight eligible contiguous points,0,,,,,,,,,,,,,
