method,quantity,metric,estimator,epsilon_subset,preferred_AIC,preferred_BIC,preferred_LOO,selected_family,arrhenius_votes,polynomial_votes,delta_AIC_poly_minus_arr,delta_BIC_poly_minus_arr,delta_LOO_poly_minus_arr
LSC-CP,mixing_time,KDE_chi2,particle_threshold,lowest_10,arrhenius,arrhenius,arrhenius,arrhenius,3,0,70.35842355019395,70.35842355019396,0.2595168131244969
LSC-CP,mixing_time,KDE_chi2,particle_threshold,lowest_8,arrhenius,arrhenius,arrhenius,arrhenius,3,0,52.186746859127425,52.186746859127425,0.35558183226017226
LSC-CP,mixing_time,KDE_chi2,particle_threshold,uncensored_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,115.67319853866478,115.67319853866476,0.37493764222334425
LSC-CP,mixing_time,KDE_chi2,particle_threshold,reliable_rate_window_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,46.42242098253705,46.42242098253705,0.20774751909280265
LSC-CP,chi2_effective_rate,bin_chi2_M40,seed_mean_window,all,polynomial,polynomial,polynomial,polynomial,0,3,-29.24945042531337,-29.249450425313363,-0.005088923547640491
LSC-CP,chi2_effective_rate,bin_chi2_M40,seed_mean_window,exclude_largest_2,polynomial,polynomial,polynomial,polynomial,0,3,-22.204529748116457,-22.20452974811645,-0.003074702102677269
LSC-CP,chi2_effective_rate,bin_chi2_M40,seed_mean_window,lowest_12,polynomial,polynomial,polynomial,polynomial,0,3,-7.669982342501086,-7.669982342501086,-0.000432168854051215
LSC-CP,chi2_effective_rate,bin_chi2_M40,seed_mean_window,lowest_10,polynomial,polynomial,polynomial,polynomial,0,3,-4.983059647782994,-4.983059647782994,-0.00013912257113145543
LSC-CP,chi2_effective_rate,bin_chi2_M40,seed_mean_window,lowest_8,polynomial,polynomial,polynomial,polynomial,0,3,-2.536938383632851,-2.536938383632844,-3.6891332410796964e-05
LSC-CP,chi2_effective_rate,bin_chi2_M40,seed_mean_window,uncensored_only,polynomial,polynomial,polynomial,polynomial,0,3,-29.24945042531337,-29.249450425313363,-0.005088923547640491
LSC-CP,chi2_effective_rate,bin_chi2_M40,seed_mean_window,reliable_rate_window_only,polynomial,polynomial,polynomial,polynomial,0,3,-29.24945042531337,-29.249450425313363,-0.005088923547640491
LSC-CP,mixing_time,bin_chi2_M40,particle_threshold,all,polynomial,polynomial,polynomial,polynomial,0,3,-127.86657752508074,-127.86657752508074,-0.4485464047709391
