epsilon,replicate,metric,bias_floor_value,N_particles,KDE_bandwidth
0.22,22,truncated_KDE_chi2,0.004640506273028406,2400,0.05753211211048985
0.22,22,well_TV,0.0016666666666665941,2400,0.05753211211048985
0.22,22,W1,0.009621694848265338,2400,0.05753211211048985
0.22,22,CDF_sup,0.009834391865098269,2400,0.05753211211048985
0.22,23,truncated_KDE_chi2,0.003022887465654554,2400,0.05753211211048985
0.22,23,well_TV,0.0024999999999998357,2400,0.05753211211048985
0.22,23,W1,0.009774665624990313,2400,0.05753211211048985
0.22,23,CDF_sup,0.00800086820417778,2400,0.05753211211048985
0.2,0,truncated_KDE_chi2,0.006022969563631912,2400,0.05549484612906062
0.2,0,well_TV,0.020416666666666528,2400,0.05549484612906062
0.2,0,W1,0.03059554659217235,2400,0.05549484612906062
0.2,0,CDF_sup,0.024451340574860647,2400,0.05549484612906062
0.2,1,truncated_KDE_chi2,0.006918007487636847,2400,0.05549484612906062
0.2,1,well_TV,0.009999999999999898,2400,0.05549484612906062
0.2,1,W1,0.030180949499097352,2400,0.05549484612906062
0.2,1,CDF_sup,0.021130738738142807,2400,0.05549484612906062
0.2,2,truncated_KDE_chi2,0.004544097451585907,2400,0.05549484612906062
0.2,2,well_TV,0.00041666666666650976,2400,0.05549484612906062
0.2,2,W1,0.009479163818137832,2400,0.05549484612906062
0.2,2,CDF_sup,0.013841842752091549,2400,0.05549484612906062
0.2,3,truncated_KDE_chi2,0.005161287988774327,2400,0.05549484612906062
0.2,3,well_TV,0.0025000000000001132,2400,0.05549484612906062
0.2,3,W1,0.01814761855471244,2400,0.05549484612906062
0.2,3,CDF_sup,0.01994109809236244,2400,0.05549484612906062
0.2,4,truncated_KDE_chi2,0.004240852895390715,2400,0.05549484612906062
0.2,4,well_TV,0.018333333333333424,2400,0.05549484612906062
0.2,4,W1,0.0356200474786785,2400,0.05549484612906062
0.2,4,CDF_sup,0.0229800826684462,2400,0.05549484612906062
0.2,5,truncated_KDE_chi2,0.008393846803692862,2400,0.05549484612906062
0.2,5,well_TV,0.013750000000000095,2400,0.05549484612906062
