experiment,method,seed,time,KDE_bandwidth,KDE_integral,KDE_integral_before_grid_renormalization,KDE_tail_mass_outside_plot,L1_density_error,L2_density_error,truncated_KDE_chi2,KDE_CDF_sup_error,empirical_CDF_sup_error,KDE_vs_empirical_CDF_sup,chi_interval_left,chi_interval_right,chi_omitted_target_mass,chi_target_density_min,quadrature
triple-well,LSC-overlong,2,3.9396,0.09199214785700836,1.0,1.0000000000000302,0.0,0.0755164963378364,0.0009886458122919434,0.006784446264309454,0.00994534192525591,0.01319764103560117,0.0057576030907024595,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.9543,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.07686245208948331,0.001110338774883435,0.009037777550233224,0.008757808476957507,0.014698006510343475,0.00724603825029374,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.969,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.07393414436242318,0.0009558794614090974,0.00843437158709185,0.007535908131068192,0.012575328278742526,0.006463969268332814,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.9837,0.09199214785700836,0.9999999999999998,1.0000000000000302,0.0,0.07770835738225343,0.001138471433327559,0.009079531713865543,0.00842453475581939,0.01410572925562914,0.005931957646483299,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.9984,0.09199214785700836,1.0,1.0000000000000302,0.0,0.07153229277518817,0.001117238904639177,0.007273531209893562,0.010395423791646485,0.01640001781165812,0.007499767953001224,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,4.0131,0.09199214785700836,1.0,1.0000000000000302,0.0,0.06653080525050888,0.0009176924900349407,0.006073497335254304,0.007773092148936178,0.014698006510343475,0.007016628205201103,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,4.0278,0.09199214785700836,0.9999999999999998,1.0000000000000302,0.0,0.08082814318942796,0.001274763414297673,0.008123267092312928,0.007131190675221388,0.011601255668190258,0.0064997438435083765,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,4.0424999999999995,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.06955183942822363,0.0009566320553301634,0.00609362773199178,0.0074988944061376295,0.009221491320832609,0.006166238150669412,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,4.0572,0.09199214785700836,1.0,1.0000000000000302,0.0,0.06826925312324701,0.0009278112686167976,0.006650098393178195,0.007049621791382674,0.010118094438601677,0.005937101841312131,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,4.0719,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.06762112572965201,0.000902401527408612,0.006629993462945745,0.0080678258976572,0.01343667515620628,0.006255346213110191,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
